name,size,fullname,group
Bezirksamt Spandau,200,Bezirksamt Spandau,1
Berliner Bäderbetriebe,100,Berliner Bäderbetriebe,1
Kassenzahnärztliche Vereinigung Berlin,0,Kassenzahnärztliche Vereinigung Berlin,1
Ärztekammer Berlin,0,Ärztekammer Berlin,1
Amtsgericht Spandau,0,Amtsgericht Spandau,1
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",1
Bezirksamt Reinickendorf,0,Bezirksamt Reinickendorf,1
Landesverwaltungsamt,0,Landesverwaltungsamt,1
Investitionsbank Berlin,100,Investitionsbank Berlin,1
Finanzamt Friedrichshain-Kreuzberg,0,Finanzamt Friedrichshain-Kreuzberg,1
Verwaltungsgericht Berlin,100,Verwaltungsgericht Berlin,1
Senatsverwaltung für Finanzen,0,Senatsverwaltung für Finanzen,1
Maxim Gorki Theater,0,Maxim Gorki Theater,1
Stiftung Preußischer Kulturbesitz,0,Stiftung Preußischer Kulturbesitz,1
Jugendstrafanstalt Berlin,0,Jugendstrafanstalt Berlin,1
Finanzamt Lichtenberg,0,Finanzamt Lichtenberg,1
Bezirksamt Pankow,0,Bezirksamt Pankow,1
Abgeordnetenhaus von Berlin,100,Abgeordnetenhaus von Berlin,1
Finanzamt für Körperschaften II,0,Finanzamt für Körperschaften II,1
Bezirksamt Mitte,100,Bezirksamt Mitte,1
Stiftung Bröhan-Museum,100,Stiftung Bröhan-Museum,1
Landesfinanzservice (inkl. Landeshauptkasse),0,Landesfinanzservice (inkl. Landeshauptkasse),1
Amtsanwaltschaft Berlin,0,Amtsanwaltschaft Berlin,1
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",1
Handwerksinnungen,0,Handwerksinnungen,1
Verfassungsgerichtshof des Landes Berlin,0,Verfassungsgerichtshof des Landes Berlin,1
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,1
Pflanzenschutzamt Berlin,100,Pflanzenschutzamt Berlin,1
Technische Universität Berlin,0,Technische Universität Berlin,1
Verkehrslenkung Berlin,0,Verkehrslenkung Berlin,1
Unfallkasse Berlin,0,Unfallkasse Berlin,1
Finanzamt Charlottenburg,100,Finanzamt Charlottenburg,1
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),100,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),1
Wiedergutmachungsämter von Berlin,0,Wiedergutmachungsämter von Berlin,1
Stiftung Stadtmuseum Berlin,0,Stiftung Stadtmuseum Berlin,1
Finanzamt Reinickendorf,0,Finanzamt Reinickendorf,1
Justizvollzugsanstalt für Frauen Berlin,300,Justizvollzugsanstalt für Frauen Berlin,1
"Landesamt für Bergbau, Geologie und Rohstoffe",0,"Landesamt für Bergbau, Geologie und Rohstoffe",1
Steuerberaterkammer Berlin,100,Steuerberaterkammer Berlin,1
Finanzamt Marzahn-Hellersdorf,100,Finanzamt Marzahn-Hellersdorf,1
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",200,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",1
Senatsverwaltung für Kultur und Europa,100,Senatsverwaltung für Kultur und Europa,1
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,1
Pestalozzi-Fröbel-Haus,0,Pestalozzi-Fröbel-Haus,1
Amtsgericht Lichtenberg,0,Amtsgericht Lichtenberg,1
Deutsche Klassenlotterie Berlin,0,Deutsche Klassenlotterie Berlin,1
Landesarbeitsgericht Berlin-Brandenburg,0,Landesarbeitsgericht Berlin-Brandenburg,1
Berliner Wasserbetriebe (BWB),0,Berliner Wasserbetriebe (BWB),1
Wohnraumversorgung Berlin,100,Wohnraumversorgung Berlin,1
Polizei Berlin,100,Polizei Berlin,1
